pair,layer,r2
atomic mass - electronegativity,22,-1.9430447369370172
atomic mass - electronegativity,23,-1.712982829076329
atomic mass - electronegativity,24,-1.621275695793127
atomic mass - electronegativity,25,-1.732731362031616
atomic mass - electronegativity,26,-2.0715588031153005
atomic mass - electronegativity,27,-2.206528050066315
atomic mass - electronegativity,28,-2.870024297163437
atomic mass - electronegativity,29,-3.4601073873653165
atomic mass - electronegativity,30,-0.8145589202308618
atomic mass - electronegativity,31,-1.1047757512916205
atomic mass - electronegativity,32,-1.0812518778908404
atomic mass - electronegativity,33,-1.2488171836299835
atomic mass - electronegativity,34,-0.917736940648014
atomic mass - electronegativity,35,-2.7065814543789313
atomic mass - electronegativity,36,-1.4539935732724476
atomic mass - electronegativity,37,-0.6295169873223193
atomic mass - electronegativity,38,-0.4151255320018389
atomic mass - electronegativity,39,0.08500245170256551
atomic mass - electronegativity,40,-0.1263973152875188
atomic mass - electronegativity,41,-0.04247775304285843
atomic mass - electronegativity,42,-0.08482169128948533
atomic mass - electronegativity,43,-0.03795895820200845
atomic mass - electronegativity,44,-0.39314730078043536
atomic mass - electronegativity,45,-0.13181802211467658
atomic mass - electronegativity,46,-0.278426106428684
atomic mass - electronegativity,47,-0.7522547451887635
atomic mass - electronegativity,48,-0.28969138980840914
atomic mass - electronegativity,49,-0.2263840953299142
atomic mass - electronegativity,50,-0.1615634493950526
atomic mass - electronegativity,51,-0.1561958602019214
atomic mass - electronegativity,52,-0.055387800650399575
atomic mass - electronegativity,53,-0.03094717447979813
atomic mass - electronegativity,54,-0.1109288633631738
atomic mass - electronegativity,55,-0.0027822770351147996
atomic mass - electronegativity,56,-0.11282908840487067
atomic mass - electronegativity,57,-0.06810619614228576
atomic mass - electronegativity,58,-0.15227997163685264
atomic mass - electronegativity,59,-0.07332735071622024
atomic mass - electronegativity,60,-0.19428067539810887
atomic mass - electronegativity,61,-0.21393061425460477
atomic mass - electronegativity,62,-0.22671901198620353
atomic mass - electronegativity,63,-0.2917978696059696
atomic mass - electronegativity,64,-0.29972676115803704
atomic mass - electronegativity,65,-0.20661166981760415
atomic mass - electronegativity,66,-0.31463164375161273
atomic mass - electronegativity,67,-0.2939253629410973
atomic mass - electronegativity,68,-0.4652661306690806
atomic mass - electronegativity,69,-0.568997971521963
atomic mass - electronegativity,70,-0.5182746761115586
atomic mass - electronegativity,71,-0.7622833162469764
atomic mass - electronegativity,72,-1.253059757319694
atomic mass - electronegativity,73,-1.0835415676226041
atomic mass - electronegativity,74,-0.9872902455860343
atomic mass - electronegativity,75,-1.1155511483620812
atomic mass - electronegativity,76,-0.8779533843031011
atomic mass - electronegativity,77,-1.0440734480237626
atomic mass - electronegativity,78,-1.548894749107062
atomic mass - electronegativity,79,-1.2690691035082367
atomic mass - atomic number,1,0.7955612316285994
atomic mass - atomic number,2,0.905710434068245
atomic mass - atomic number,3,0.8734516957423045
