entity_type,layer,silhouette_functional_group,silhouette_carbon_count
avg_carbon_oxidation_state,12,-0.03227049484848976,-0.004845339339226484
avg_carbon_oxidation_state,13,-0.03738154470920563,-0.0055556041188538074
avg_carbon_oxidation_state,14,-0.031200800091028214,-0.00488171074539423
avg_carbon_oxidation_state,15,-0.054361823946237564,-0.00486562168225646
avg_carbon_oxidation_state,16,-0.037779416888952255,-0.004974559415131807
avg_carbon_oxidation_state,17,-0.051299165934324265,-0.004250896628946066
avg_carbon_oxidation_state,18,-0.04844280332326889,-0.004233337938785553
avg_carbon_oxidation_state,19,-0.06573119014501572,-0.004430416505783796
avg_carbon_oxidation_state,20,-0.06881581991910934,-0.005029630847275257
avg_carbon_oxidation_state,21,-0.10184147208929062,-0.006297876592725515
avg_carbon_oxidation_state,22,-0.14323623478412628,-0.0062583694234490395
avg_carbon_oxidation_state,23,-0.12142175436019897,-0.006113449111580849
avg_carbon_oxidation_state,24,-0.1408625990152359,-0.006978342775255442
avg_carbon_oxidation_state,25,-0.1409154236316681,-0.006096968427300453
avg_carbon_oxidation_state,26,-0.13279075920581818,-0.006704309955239296
avg_carbon_oxidation_state,27,-0.12376836687326431,-0.006175793241709471
avg_carbon_oxidation_state,28,-0.1449289470911026,-0.006613095290958881
avg_carbon_oxidation_state,29,-0.10525699704885483,-0.005684890318661928
avg_carbon_oxidation_state,30,-0.0636875182390213,-0.00588500639423728
avg_carbon_oxidation_state,31,-0.07312220335006714,-0.005820902064442635
avg_carbon_oxidation_state,32,-0.09573569893836975,-0.009303971193730831
hbd,1,-0.09449125081300735,-0.013642055913805962
hbd,2,-0.03766660392284393,-0.009732738137245178
hbd,3,-0.03490513563156128,-0.009391672909259796
hbd,4,-0.058630578219890594,-0.007683135569095612
hbd,5,-0.06448221951723099,-0.006546785123646259
hbd,6,-0.06582076847553253,-0.006602623965591192
hbd,7,-0.052660368382930756,-0.007006894331425428
hbd,8,-0.05074561759829521,-0.005567820742726326
hbd,9,-0.053570881485939026,-0.007403144147247076
hbd,10,-0.05956326797604561,-0.0062620979733765125
hbd,11,-0.05504044145345688,-0.005322959274053574
hbd,12,-0.05510217323899269,-0.0054383547976613045
hbd,13,-0.05336606875061989,-0.00555321853607893
hbd,14,-0.05518128722906113,-0.005206607747823
hbd,15,-0.050249580293893814,-0.005534714087843895
hbd,16,-0.03811096400022507,-0.005880657583475113
hbd,17,-0.05993500351905823,-0.005719877313822508
hbd,18,-0.07422411441802979,-0.006749448366463184
hbd,19,-0.06751160323619843,-0.006463365163654089
hbd,20,-0.12780225276947021,-0.00649008434265852
hbd,21,-0.12332243472337723,-0.0062466892413794994
hbd,22,-0.10427795350551605,-0.0065400926396250725
